0,0
00:44:47,0.142766245 Image_Scale: 2 Haar_Scale: 2
00:44:47,0.0499981790001 Image_Scale: 3 Haar_Scale: 2
00:44:48,0.591751091 Image_Scale: 1 Haar_Scale: 2
00:44:48,0.145178675 Image_Scale: 2 Haar_Scale: 2
00:44:48,0.0507879920001 Image_Scale: 3 Haar_Scale: 2
00:44:48,0.593502677 Image_Scale: 1 Haar_Scale: 2
00:44:49,0.145104693 Image_Scale: 2 Haar_Scale: 2
00:44:49,0.0524885909999 Image_Scale: 3 Haar_Scale: 2
00:44:49,0.593943573 Image_Scale: 1 Haar_Scale: 2
00:44:50,0.144509833 Image_Scale: 2 Haar_Scale: 2
00:44:50,0.0505500479999 Image_Scale: 3 Haar_Scale: 2
00:44:50,0.677889726 Image_Scale: 1 Haar_Scale: 2
00:44:50,0.149128742 Image_Scale: 2 Haar_Scale: 2
00:44:51,0.0533023970002 Image_Scale: 3 Haar_Scale: 2
00:44:51,0.593993561 Image_Scale: 1 Haar_Scale: 2
00:44:52,0.146042471 Image_Scale: 2 Haar_Scale: 2
00:44:52,0.0503980839999 Image_Scale: 3 Haar_Scale: 2
00:44:52,0.591582131 Image_Scale: 1 Haar_Scale: 2
00:44:52,0.146600339 Image_Scale: 2 Haar_Scale: 2
00:44:53,0.050265116 Image_Scale: 3 Haar_Scale: 2
00:44:53,0.593002796 Image_Scale: 1 Haar_Scale: 2
00:44:53,0.144658798 Image_Scale: 2 Haar_Scale: 2
00:44:53,0.0507300060001 Image_Scale: 3 Haar_Scale: 2
00:44:54,0.591175227 Image_Scale: 1 Haar_Scale: 2
00:44:54,0.145423618 Image_Scale: 2 Haar_Scale: 2
00:44:54,0.050051167 Image_Scale: 3 Haar_Scale: 2
00:44:55,0.631483698 Image_Scale: 1 Haar_Scale: 2
00:44:55,0.182239913 Image_Scale: 2 Haar_Scale: 2
00:44:55,0.0507639980001 Image_Scale: 3 Haar_Scale: 2
00:44:56,0.611328463 Image_Scale: 1 Haar_Scale: 2
00:44:56,0.142243369 Image_Scale: 2 Haar_Scale: 2
00:44:56,0.0505540480001 Image_Scale: 3 Haar_Scale: 2
00:44:57,0.590347424 Image_Scale: 1 Haar_Scale: 2
00:44:57,0.145279651 Image_Scale: 2 Haar_Scale: 2
00:44:57,0.0512598800001 Image_Scale: 3 Haar_Scale: 2
00:44:58,0.592842834 Image_Scale: 1 Haar_Scale: 2
00:44:58,0.148114981 Image_Scale: 2 Haar_Scale: 2
00:44:58,0.0512518829998 Image_Scale: 3 Haar_Scale: 2
00:44:59,0.592718863 Image_Scale: 1 Haar_Scale: 2
00:44:59,0.146326404 Image_Scale: 2 Haar_Scale: 2
00:44:59,0.0521256750001 Image_Scale: 3 Haar_Scale: 2
00:44:59,0.586350369 Image_Scale: 1 Haar_Scale: 2
00:45:00,0.143073173 Image_Scale: 2 Haar_Scale: 2
00:45:00,0.051238886 Image_Scale: 3 Haar_Scale: 2
00:45:00,0.67681698 Image_Scale: 1 Haar_Scale: 2
00:45:01,0.147667087 Image_Scale: 2 Haar_Scale: 2
00:45:01,0.0643497859999 Image_Scale: 3 Haar_Scale: 2
00:45:01,0.594712392 Image_Scale: 1 Haar_Scale: 2
00:45:01,0.145851517 Image_Scale: 2 Haar_Scale: 2
00:45:01,0.0499701860001 Image_Scale: 3 Haar_Scale: 2
00:45:02,0.600379052 Image_Scale: 1 Haar_Scale: 2
00:45:02,0.145799528 Image_Scale: 2 Haar_Scale: 2
00:45:02,0.0504980610001 Image_Scale: 3 Haar_Scale: 2
00:45:03,0.590469394 Image_Scale: 1 Haar_Scale: 2
00:45:03,0.146865277 Image_Scale: 2 Haar_Scale: 2
00:45:03,0.0530724519999 Image_Scale: 3 Haar_Scale: 2
00:45:04,0.59239294 Image_Scale: 1 Haar_Scale: 2
00:45:04,0.14448584 Image_Scale: 2 Haar_Scale: 2
00:45:04,0.050760998 Image_Scale: 3 Haar_Scale: 2
00:45:05,0.591603126 Image_Scale: 1 Haar_Scale: 2
00:45:05,0.146528356 Image_Scale: 2 Haar_Scale: 2
00:45:05,0.106756759 Image_Scale: 3 Haar_Scale: 2
00:45:06,0.612686142 Image_Scale: 1 Haar_Scale: 2
00:45:06,0.147200198 Image_Scale: 2 Haar_Scale: 2
00:45:06,0.050517056 Image_Scale: 3 Haar_Scale: 2
00:45:07,0.588320902 Image_Scale: 1 Haar_Scale: 2
00:45:07,0.146113454 Image_Scale: 2 Haar_Scale: 2
00:45:07,0.0510459310001 Image_Scale: 3 Haar_Scale: 2
00:45:07,0.592694868 Image_Scale: 1 Haar_Scale: 2
00:45:08,0.144734781 Image_Scale: 2 Haar_Scale: 2
00:45:08,0.049299344 Image_Scale: 3 Haar_Scale: 2
00:45:08,0.587680054 Image_Scale: 1 Haar_Scale: 2
